Artist_Name,Artist_Id
"Abraham Mateo",2bxxlINUlcMQQb39K7IopR
"Adam Levine",4bYPcJP5jwMhSivRcqie2n
Aitana,7eLcDZDYHXZCebtQmVFL25
Aleesha,18qC8mrcJ9ZjChRDPvpadi
"Alejandro Rian1o",6gypZD8U0igayJnsl9ZWQF
"Alejandro Sanz",5sUrlPAHlS9NEirDB8SEbF
"Alejandro Valencia",3oQvC1twYXSwuCoQtCN3ca
"Alex Sensation",0OROVBEZCocg0FcgJpyBse
Anitta,7FNnA9vBm6EKceENgCGRMb
"Anuel AA",2R21vXR83lH98kGeO99Y66
B-Case,1o9x7ez0NvhDb7gBqrYnUj
"Bad Bunny",4q3ewBCX7sLwd24euuV69X
"Bad Gyal",4F4pp8NUW08JuXwnoxglpN
"Becky G",4obzFoKoKRHIphyHzJ35G3
Beele,7a0XAaPaK2aDSqa8p3QnC7
Belinda,5LeiVcEnsZcwc133TUhJNW
Bizarrap,716NhGYqD1jl2wI1Qkgq36
"Black Eyed Peas",1yxSLGMDHlW21z4YXirZDS
Blessd,1TA5sGRlKUJXBN4ZyJuDIX
Boza,2NfSBtmWe7oPw1EmetJVso
"Brian Castro",1sIoWXRfR1dgisFsVTo07m
Brray,1GKIlPFdcewHtpDVCQ8zmJ
"Cali Y El Dandee",5DUlefCLzVRzNWaNURTFpK
"Calle 13",0yNSzH5nZmHzeE2xn6Xshb
Cami,3VCrybIJKH7UurbDcZbMmn
"Camila Cabello",4nDoRrQiYLoBzwC5BhVJzF
Camilo,28gNT5KBp7IjEOQoevXf9N
"Caracol Television",6Rk6tAhO16QKZZtYFrHMbm
"Cardi B",4kYSro6naA4h99UJvo89HB
"Carlos Rivera",39yVoqm6sYFvvqF1RciUVf
"Carlos Vives",4vhNDa5ycK0ST968ek7kRr
Cazzu,6w3SkAHYPsQ1bxV7VDlG5y
"Charly Black",5sK8BsvyDl4TFA6KaBf8or
Chimbala,4VVEpEhC8NcR7AqNEds42U
"Chino & Nacho",5NS0854TqZQVoRmJKSWtFZ
"Chris Brown",7bXgB6jMjp9ATFy66eO08Z
"Christian Nodal",0XwVARXT135rw8lyw1EeWP
"Chyno Miranda",1VrWc8r4AjrR8YfT0vlsc7
CNCO,0eecdvMrqBftK0M1VKhaF4
"Cris Mj",1Yj5Xey7kTwvZla8sqdsdE
"Daddy Yankee",4VMYDCV2IEDYJArk749S6m
Dalex,0KPX4Ucy9dk82uj4GpKesn
Dalmata,3jGlU8UMMo44I2xeLQ6FD3
"Dani Martin",3AIPhNgeF9S1Kyg9Yy3UQW
"Daniela Sierra",3nwgQnJvhaRxrpJ9o84t4f
"Danna Paola",5xSx2FM8mQnrfgM1QsHniB
"Danny Ocean",5H1nN1SzW0qNeUEZvuXjAj
Darell,1TtXnWcUs0FCkaZDPGYHdf
"David Botero",5MDgKcKetNzuCiItXkK1dG
"De La Ghetto",3EiLUeyEcA6fbRPSHkG5kb
"Demi Lovato",6S2OmqARrzebs0tKUEyXyp
"Di Genius",08erObvNX7rs7d4pbuaRCQ
"Diana Ela",6N1G7ER0svQJ0OoUjkX4Cr
"Dimelo Flow",3fZk3Gm5dN5v5yfYMQ04Bx
"DJ Luian",64aJYyrXljOodnUG6jvhRD
"DJ Snake",540vIaP2JwjQb9dm3aArA4
"Doja Cat",5cj0lLjcoR7YOSnhnX0Po5
Drake,3TVXtAsR1Inumwj472S9r4
"Dread Mar I",1aw0Cdl1DIrtUrUA6fGbAR
"Dua Lipa",6M2wZ9GZgrQXHCFfjv46we
Duki,1bAftSH8umNcGZ0uyV7LMg
"Ed Sheeran",6eUKZXaKkcviH0Ku9w2n3V
"El Alfa",2oQX8QiMXOyuqbcZEFsZfm
"ELENA ROSE",0zO8yNnw5GQgutcIyXfGBY
Emilee,4ArPQ1Opcksbbf3CPwEjWE
Emilia,0AqlFI0tz2DsEoJlKSIiT9
"Encanto - Elenco",52l7jN5e0g2n3IVOHulkA6
"Enrique Iglesias",7qG3b048QCHVRO5Pv1T5lw
"Evaluna Montaner",52qzWdNUp6ebjcNsvgZSiC
Farina,7cYik4OyfBXYV5Z2TI7p90
Farruko,329e4yvIujISKGKz1BZZbO
"Fatman Scoop",15GGbJKqC6w0VYyAJtjej6
Feid,2LRoIwlKmHjgvigdNGBHNo
"Felipe Betancur",7ph0AoUrfF8rKI5k55Dl7Z
FMK,0dUyjgCyjfj5eMx6bX2TWf
"G.O Kings Bred",7fiP6lgxb6HlZcq8gDYCmE
"Gelo Arango",1IDFD0FecyWg2rjm5iNcZo
GIMS,0GOx72r5AAEKRGQFn3xqXK
Greeicy,5dbaLmK5SHLLg8Z4CcTJpX
"Grupo Frontera",6XkjpgcEsYab502Vr1bBeW
Guaynaa,0BqURncJM5B1BBu7UM51eq
Guita,0LEqiMyg7tH6JV2afcxyVd
Gus,3tQrRoZiGXR5uMkaCYf8S4
"Hernan Dario Ramirez Mejia",5FaLqNNsScxgqvtmAdl3xl
"Horacio Palencia",7arK8QUX7X61NIkChn9no2
Ingratax,62YF0FglEltB3CnVIjoko8
"Isabela Merced",2bIxak1AAD8wlDfMLnumUj
"J Balvin",1vyhD5VmyZ7KMfW5gqLgo5
"Jaime Serna",6YjFXthOIczdMzgJT0S0Fs
"Jason Derulo",07YZf4WDAMNwqr4jfgOZ8y
"Jennifer Lopez",2DlGxzQSjYe5N6G9nkYghR
"Jesse & Joy",1mX1TWKpNxDSAH16LgDfiR
Jhayco,6nVcHLIgY5pE2YCl8ubca1
"Joey Montana",3ATyg4fGC9F8trfb0GRWmX
"John Legend",5y2Xq6xcjJb2jVM54GHK3t
"Jonas Brothers",7gOdHgIoIKoe4i9Tta6qdD
"Joss Favela",0EocQPg9ycs21gcvaVm9hh
"JP Saxe",66W9LaWS0DPdL7Sz8iYGYe
"Juan C. Triana",41dH1Ns4FMGpjoruoPbjTQ
"Juan Magan",1ackd5XprZEkH3McKbQD51
Juanes,0UWZUmn7sybxMCqrw9tGa7
Juanka,3Wb38LDP3N4tkobValgE9D
Juhn,2LmcxBak1alK1bf7d1beTr
"Juicy BAE",46K14JAfAHpxTSkb6KkFfN
"Julia Michaels",0ZED1XzwlLHW4ZaG4lOT6m
"Justin Quiles",14zUHaJZo1mnYtn6IBRaRP
"KAROL G",790FomKkXshlbRYZFtlgla
Katalina,5A0VKjif7Iv5v8ZvmyQajc
"Kevin Bury",719A9QNZmkVRQ9SPMpcD89
"Kevin Lyttle",1GaBsp1ICIp1e6udgE7fba
"Kewin Cosmos",1nf6gLEC45OmoJFIxU7aUT
KHEA,4m6ubhNsdwF4psNf3R8kwR
"Kim Loaiza",1QivQCLVipV61DiQiyV14A
Kin1o,4mSxhskrhEcz1mZNVf1GWa
L-Gante,4YYxffPVDFe9XoqqbRW6Bq
"La Duraca",7x7vfF89MqM94K8wvK3Omq
Lali,22P1OY4TRFRwhP0q29loQ8
"Lalo Ebratt",1GAymyGBvB4gQy5Z5LZ1Wj
Lasso,3SCOuAxngTC1yGjKMcIPEd
"Lenny Tavarez",1pQWsZQehhS4wavwh7Fnxd
"Leslie Grace",6BeO1KuAWBqFriL1mLHtNc
"Leslie Shaw",3bAPo06XsUX6fo8iHYUqH7
"LiL CaKe",0niAkxgT6y57bRbT0Ge94z
"LIT killah",1vqR17Iv8VFdzure1TAXEq
"Little Mix",3e7awlrlDSwF3iM0WBjGMp
Llane,7A02nc5WKMBLqSKXxGZ4o8
"Lola Indigo",3bvfu2KAve4lPHrhEFDZna
"Los Angeles Azules",0ZCO8oVkMj897cKgFH7fRW
"Los Legendarios",0n6sKrG0xKAf8xmdqeNGke
"Lucy Vives",38J4nu5eGAEtwWH9fSWEj4
Ludacris,3ipn9JLAPI5GUEo4y4jcoi
"Luis Fonsi",4V8Sr092TqfHkfAA5fXXqG
Lunay,47MpMsUfWtgyIIBEFOr4FE
Lyanno,1Ts9of7VPZElwPQnqnDSfW
Madonna,6tbjWDEIzxoDsBA1FuhfPW
Maluma,1r4hJ1h58CWwUQe3MxPuau
"Mambo Kingz",2T1aUibqR2QC2sINIDQOAK
"Manu Pilas",2TJHmhbmT7L3gw2NKyDTHh
"Manuel Turizo",0tmwSHipWxN12fsoLcFU3B
"Marc Anthony",4wLXwxDeWQ8mtUIRPxGiD6
"Marc Segui",5FQ8tBUtIamA2hRtatrYUF
"Marco Mares",5Eg5ZoZgXAa1Eit48sxoKQ
"Maria Becerra",1DxLCyH42yaHKGK3cl5bvG
"Mariah Angeliq",0KKUc4amZyvswV2YL6WTar
"Mariana Gomez",3KM7Awm5GI3R4cKb0U5thK
Marshmello,64KEffDW9EtZ1y2vBYgq8T
Matisse,77aLk6J8ofnVxa1eXK9jiU
