Track_Name,Track_Id,Track_Popularity,Artist_1_Name,Artist_2_Name,Artist_3_Name,Artist_4_Name,Artist_5_Name,Artist_6_Name,Artist_1_Id,Artist_2_Id,Artist_3_Id,Artist_4_Id,Artist_5_Id,Artist_6_Id
Felices los 4,1RouRzlg8OKFeqc6LvdxmB,77,Maluma,,,,,,1r4hJ1h58CWwUQe3MxPuau,,,,,
ADMV,3eJMSq78dDaFb7VvhNFnq6,72,Maluma,,,,,,1r4hJ1h58CWwUQe3MxPuau,,,,,
Chantaje (feat. Maluma),6mICuAdrwEjh6Y6lroV2Kg,80,Shakira,Maluma,,,,,0EmeFodog0BfCgMzAIvKQp,1r4hJ1h58CWwUQe3MxPuau,,,,
Ignorantes,3wYRLYuO1M88d8woWUIxct,72,Bad Bunny,Sech,,,,,4q3ewBCX7sLwd24euuV69X,77ziqFxp5gaInVrF2lj4ht,,,,
Me Gusta,5Xhqh4lwJPtMUTsdBztN1a,74,Shakira,Anuel AA,,,,,0EmeFodog0BfCgMzAIvKQp,2R21vXR83lH98kGeO99Y66,,,,
"Suerte (Whenever, Wherever)",3TY1PFZXmYeiLcXygB74My,71,Shakira,,,,,,0EmeFodog0BfCgMzAIvKQp,,,,,
La Tortura (feat. Alejandro Sanz),5BSclXJTa9B0iURhUjZo50,80,Shakira,Alejandro Sanz,,,,,0EmeFodog0BfCgMzAIvKQp,5sUrlPAHlS9NEirDB8SEbF,,,,
MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,20,Bad Bunny,Drake,,,,,4q3ewBCX7sLwd24euuV69X,3TVXtAsR1Inumwj472S9r4,,,,
La Santa,69vlMrzHwATKzupwNcUPyK,84,Bad Bunny,Daddy Yankee,,,,,4q3ewBCX7sLwd24euuV69X,4VMYDCV2IEDYJArk749S6m,,,,
Vivir Mi Vida,3QHMxEOAGD51PDlbFPHLyJ,79,Marc Anthony,,,,,,4wLXwxDeWQ8mtUIRPxGiD6,,,,,
El Perdedor,1iEwyiSLAunPR6uouANE0O,76,Maluma,,,,,,1r4hJ1h58CWwUQe3MxPuau,,,,,
11 PM,7KbF6AdprOXEEHlsq11Z6d,78,Maluma,,,,,,1r4hJ1h58CWwUQe3MxPuau,,,,,
La Playa - Remix,70zg99pT51vB4wlMS7e4q7,64,Myke Towers,Maluma,Farruko,,,,7iK8PXO48WeuP03g8YR51W,1r4hJ1h58CWwUQe3MxPuau,329e4yvIujISKGKz1BZZbO,,,
HP,1LIqNVhaIgxXUt2eVoIQJ3,75,Maluma,,,,,,1r4hJ1h58CWwUQe3MxPuau,,,,,
Mi Gente,4ipnJyDU3Lq15qBAYNqlqK,73,J Balvin,Willy William,,,,,1vyhD5VmyZ7KMfW5gqLgo5,4RSyJzf7ef6Iu2rnLdabNq,,,,
Vente Pa' Ca (feat. Maluma),7DM4BPaS7uofFul3ywMe46,75,Ricky Martin,Maluma,,,,,7slfeZO9LsJbWgpkIoXBUJ,1r4hJ1h58CWwUQe3MxPuau,,,,
Ya Tu Me Conoces,3ldgkMriNO5qTaIJ4zlNCL,35,Thalia,Mau y Ricky,,,,,23wEWD21D4TPYiJugoXmYb,2wkoKEfS6dXwThbyTnZWFU,,,,
Girasoles,4LdtAljggvH4qzlxNxo559,53,Luis Fonsi,,,,,,4V8Sr092TqfHkfAA5fXXqG,,,,,
Echame La Culpa,0mlAOSILGRys2IbvyOT5VJ,77,Luis Fonsi,Demi Lovato,,,,,4V8Sr092TqfHkfAA5fXXqG,6S2OmqARrzebs0tKUEyXyp,,,,
Date La Vuelta,5lwVd35Zg6DJ4qibVMq99H,60,Luis Fonsi,Sebastian Yatra,Nicky Jam,,,,4V8Sr092TqfHkfAA5fXXqG,07YUOmWljBTXwIseAUd9TW,1SupJlEpv7RS2tPNRaHViT,,,
Rojo,380HmhwTE2NJgawn1NwkXi,73,J Balvin,,,,,,1vyhD5VmyZ7KMfW5gqLgo5,,,,,
Honey Boo,0P0UtGDZpUMWoFCuDTn78K,56,CNCO,NATTI NATASHA,,,,,0eecdvMrqBftK0M1VKhaF4,1GDbiv3spRmZ1XdM1jQbT7,,,,
Dejate Llevar,784NEMxBpeH9MxWF1qr4iu,61,Juan Magan,Belinda,Manuel Turizo,Snova,B-Case,,1ackd5XprZEkH3McKbQD51,5LeiVcEnsZcwc133TUhJNW,0tmwSHipWxN12fsoLcFU3B,5oOyEfGd8NxAKA41zGQhoj,1o9x7ez0NvhDb7gBqrYnUj,
Amor A Primera Vista,1E7RHPXA9sZ30qfms18J7J,46,Los Angeles Azules,Belinda,Lalo Ebratt,Horacio Palencia,,,0ZCO8oVkMj897cKgFH7fRW,5LeiVcEnsZcwc133TUhJNW,1GAymyGBvB4gQy5Z5LZ1Wj,7arK8QUX7X61NIkChn9no2,,
