Artist_Name,Artist_Id,Artist_Popularity,Top_Track_1,Top_Track_2,Top_Track_3,Top_Track_4,Top_Track_5,Top_Track_6,Top_Track_7,Top_Track_8,Top_Track_9,Top_Track_10
Abraham Mateo,2bxxlINUlcMQQb39K7IopR,69,Clavaito,Quiero Decirte,Te Miro A La Cara,¿Qué Ha Pasao'?,Maníaca,Loco Enamorado,Bora Bora,La Idea,No Encuentro Palabras,Ahora Te Puedes Marchar
Adam Levine,4bYPcJP5jwMhSivRcqie2n,71,Ojalá,Lost Stars,Lifestyle (feat. Adam Levine),Good Mood - Original Song From Paw Patrol: The Movie,No One Else Like You,A Higher Place,Lifestyle (feat. Adam Levine) - David Guetta Slap House Mix,Lost Stars - Into The Night Mix,Yesterday - The Voice Performance,Wings Of Stone
Aitana,7eLcDZDYHXZCebtQmVFL25,75,Los Ángeles,Mon Amour - Remix,LAS BABYS,Presiento,Formentera,mariposas,Quieres,Vas A Quedarte,Más De Lo Que Aposté,En El Coche
Aleesha,18qC8mrcJ9ZjChRDPvpadi,43,ESO,828,Angelito,cómo t va?,Ke Sientes,Arrepentío,NO MAN,Sin Kerer,La Patrona,Tono de Llamada
Alejandro Rian1o,6gypZD8U0igayJnsl9ZWQF,31,Solo tú
Alejandro Sanz,5sUrlPAHlS9NEirDB8SEbF,75,La tortura,Corazón partío,Amiga mía,El Ultimo Adiós - Varios Artistas Version,Correcaminos,Mi soledad y yo,"Te lo agradezco, pero no (feat. Shakira)",Un Beso en Madrid,Mi Persona Favorita,Desde cuando
Alejandro Valencia,3oQvC1twYXSwuCoQtCN3ca,21,Alma - Remix,MAMAXITA,CANSADA,SOLA,Pa Mi,Olvidate de El
Alex Sensation,0OROVBEZCocg0FcgJpyBse,53,Que Va,After Party,Fantasía,La Calle,La Diabla,Pa' Lante,La Mala Y La Buena,Bailame (feat. Yandel & Shaggy),Te Veré,Dame Un Chance
Anitta,7FNnA9vBm6EKceENgCGRMb,78,Envolver,Funk Rave,Nu,Downtown,Vai Vendo,Ai Papai,Pilantra,Capitán,La Loto,Girl From Rio
Anuel AA,2R21vXR83lH98kGeO99Y66,87,Mas Rica Que Ayer,Hasta Que Dios Diga,Amanece,Mejor Que Yo,MI EXXX,La Llevo Al Cielo (Ft. Ñengo Flow),Ella Quiere Beber - Remix,China,Delincuente,Triste Verano
B-Case,1o9x7ez0NvhDb7gBqrYnUj,48,Le Encanta,BALLER,Can't Buy Love (feat. Baby E),Psycho! - Topic & B-Case Remix,Escondidos,Do It Like Me (feat. B-Case),Hungry Heart,Lucky L - Radio Edit,Do It Like Me (feat. B-Case) - Robin Schulz Remix,So schön kaputt - B-Case Remix
Bad Bunny,4q3ewBCX7sLwd24euuV69X,96,un x100to,WHERE SHE GOES,Me Porto Bonito,Coco Chanel,La Jumpa,Ojitos Lindos,Tití Me Preguntó,Efecto,LA CANCIÓN,Moscow Mule
Bad Gyal,4F4pp8NUW08JuXwnoxglpN,70,KÁRMIKA,Chulo pt.2,Chulo,Fiebre (Prod. King DouDou),QUE RICO (w/ Bad Gyal),El Sol Me Da,Real G,La Prendo,Alocao (With Bad Gyal),Blin Blin
Becky G,4obzFoKoKRHIphyHzJ35G3,80,Chanel,MAMIII,Arranca (feat. Omega),Shower,Mayores,Sin Pijama,Cuando Te Besé,FULANITO,Bubalu,La Loto
Beele,7a0XAaPaK2aDSqa8p3QnC7,74,VAGABUNDO,Inolvidable,"Manos Frías (con Reik, Beéle)",Loco,Fantasi,Aloha,Ella - Remix,Tú Sí,SI ES AMOR,Jamaica
Belinda,5LeiVcEnsZcwc133TUhJNW,67,Amor A Primera Vista,LAS 12,La Niña de la Escuela,Resistiré,Ángel - Once in Your Lifetime,Bella Traicion,Luz Sin Gravedad,Déjate Llevar,Si Nos Dejan,Ay Haiti!
Bizarrap,716NhGYqD1jl2wI1Qkgq36,86,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Quevedo: Bzrp Music Sessions, Vol. 52","Shakira: Bzrp Music Sessions, Vol. 53","Rauw Alejandro: Bzrp Music Sessions, Vol. 56",BABY HELLO,"Arcángel: Bzrp Music Sessions, Vol. 54","Tiago PZK: Bzrp Music Sessions, Vol. 48","Eladio Carrion: Bzrp Music Sessions, Vol. 40","Villano Antillano: Bzrp Music Sessions, Vol. 51",Sin Frenos
Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,80,I Gotta Feeling,Where Is The Love?,Pump It,DON'T YOU WORRY,Meet Me Halfway,Just Can’t Get Enough,BAILAR CONTIGO,RITMO (Bad Boys For Life),GIRL LIKE ME,My Humps
Blessd,1TA5sGRlKUJXBN4ZyJuDIX,75,Las Morras,Medallo,Ojitos Rojos - Remix,Tendencia Global,Instagram,Palabras Sobran,Quien TV Remix,One Love,Ojitos Rojos,Que Duro
Boza,2NfSBtmWe7oPw1EmetJVso,64,Hecha Pa' Mi,Ocean,Ella - Remix,Ella,Apretaito,Qué Prefieres?,Volar,Perreito Salvaje,Sé Que Estás Con Él,Ayahuasca
Brian Castro,1sIoWXRfR1dgisFsVTo07m,0
Brray,1GKIlPFdcewHtpDVCQ8zmJ,74,LOKERA,Corazón Roto - Remix,Sigue Bailandome,Corazón Roto,La Single,TO LO DÍAS ES 420,Pretty Bad Bitch,La Jeepeta,TU GATITO,MARIMBA GRINGA
Cali Y El Dandee,5DUlefCLzVRzNWaNURTFpK,68,Por Fin Te Encontré,Yo Te Esperaré,Nada,+ (MÁS),2005,La Musiquita,La Estrategia,Un Tiempo,Locura,Por Qué Te Vas
Calle 13,0yNSzH5nZmHzeE2xn6Xshb,68,Atrévete-Te-Te,Muerte En Hawaii,La Vuelta Al Mundo,Ojos Color Sol (feat. Silvio Rodríguez),No Hay Nadie Como Tú (feat. Café Tacuba),"Latinoamérica (feat. Totó la Momposina, Susana Baca & Maria Rita)",El Aguante,Baile De Los Pobres,Un Beso de Desayuno,Tango del Pecado (feat. Bajofondo Tango Club & Panasuyo)
Cami,3VCrybIJKH7UurbDcZbMmn,59,Simplemente Pasan,Un Millón Como Tú,Odio Que No Te Odio,Querida Rosa,Codependientes,Pa Callar Tus Penas,EL PEOR,El Derecho de Vivir en Paz,Funeral,Con Las Ganas
Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,80,Señorita,Bam Bam (feat. Ed Sheeran),Shameless,Havana (feat. Young Thug),Don't Go Yet,South of the Border (feat. Camila Cabello & Cardi B),My Oh My (feat. DaBaby),Never Be the Same,Beautiful (feat. Camila Cabello),I Know What You Did Last Summer
Camilo,28gNT5KBp7IjEOQoevXf9N,79,Ni Me Debes Ni Te Debo,La Mitad,Tattoo - Remix with Camilo,Desconocidos,Vida de Rico,Índigo,BEBÉ,El Mismo Aire - con Pablo Alborán,Tutu,KESI - Remix
Caracol Television,6Rk6tAhO16QKZZtYFrHMbm,58,Ser Un Cantante,Reflejo,Perdóname,Fénix,Depredador,Mi Destino,Estamos Perdiendo el Tiempo,Amor Imposible,Fijación,Siete Vidas
Cardi B,4kYSro6naA4h99UJvo89HB,79,I Like It,WAP (feat. Megan Thee Stallion),Up,Put It On Da Floor Again (feat. Cardi B),Tomorrow 2 (with Cardi B),South of the Border (feat. Camila Cabello & Cardi B),Please Me,Finesse - Remix; feat. Cardi B,Bodak Yellow,Money
Carlos Rivera,39yVoqm6sYFvvqF1RciUVf,73,Que Lo Nuestro Se Quede Nuestro,Te Esperaba,¿Cómo Pagarte?,Color Esperanza 2020,100 Años,Me Muero,Sincerándome,Alguien Me Espera en Madrid,Solo Tú,Otras Vidas
Carlos Vives,4vhNDa5ycK0ST968ek7kRr,73,Robarte un Beso,La Bicicleta,El Ultimo Adiós - Varios Artistas Version,Canción Bonita,Color Esperanza 2020,Volví a Nacer,La Gota Fria,Nota de Amor (feat. Daddy Yankee),Cuando Nos Volvamos a Encontrar (feat. Marc Anthony),"Colombia, Mi Encanto"
Cazzu,6w3SkAHYPsQ1bxV7VDlG5y,73,Brinca,Tú Y Tú,Toda - Remix,Loca,Nada,Glock,Mucha Data,Maléfica,"Cazzu: Bzrp Music Sessions, Vol. 32",Hennessy
Charly Black,5sK8BsvyDl4TFA6KaBf8or,61,Gyal You a Party Animal,Gyal You a Party Animal - Sped Up,Gyal You a Party Animal - Remix,Party Animal,Whine & Kotch,You're Perfect,You're Perfect - Remix,Diggy Dee,Hoist & Wine,Gyal Generals
Chimbala,4VVEpEhC8NcR7AqNEds42U,63,Loco,Feliz,WOW BB,El Boom,Rueda,Tumbala,La Piedra,Esta Si,Déjate Ver,Goza
Chino & Nacho,5NS0854TqZQVoRmJKSWtFZ,64,Andas En Mi Cabeza,Niña Bonita,Me Voy Enamorando - Remix,El Poeta,Me Voy Enamorando,Tu Angelito,Tú Me Quemas,Lo Que No Sabes Tú,Se Apago La Llama,Chica Ideal
Chris Brown,7bXgB6jMjp9ATFy66eO08Z,86,Under The Influence,Superhero (Heroes & Villains) [with Future & Chris Brown],No Guidance (feat. Drake),Nostálgico,Forever,Monalisa,Go Crazy,Five More Hours,With You,Run It! (feat. Juelz Santana)
Christian Nodal,0XwVARXT135rw8lyw1EeWP,81,Ya No Somos Ni Seremos,Por el Resto de Tu Vida,Botella Tras Botella,De Los Besos Que Te Di,Aquí Abajo,Adiós Amor,Quédate,No Te Contaron Mal,Pa' Olvidarme De Ella,La Mitad
Chyno Miranda,1VrWc8r4AjrR8YfT0vlsc7,44,Raro,Quédate Conmigo,Cariño Mío,Queriéndote,Vamo' a la calle (feat. Chyno Miranda) - RMX,Antivirus,Dónde Nos Vamos A Ver,El Peor,Me Provoca,Hasta El Ombligo
CNCO,0eecdvMrqBftK0M1VKhaF4,68,Reggaetón Lento (Bailemos),Hey DJ,Reggaetón Lento (Remix),Tan Enamorados,Plutón,Tan Fácil,Dejaría Todo,Mamita,Hey DJ - Remix,La Última Canción
Cris Mj,1Yj5Xey7kTwvZla8sqdsdE,75,Una Noche en Medellín,Marisola - Remix,Su Altura,Marisola,Llamame Bebe,Me Arrepentí,Locura y Maldad,LOKOTRON REMIX,Los Malvekes,Paz Mental
Daddy Yankee,4VMYDCV2IEDYJArk749S6m,87,Gasolina,Despacito,La Santa,Yankee 150,"Lo Que Pasó, Pasó",PANTIES Y BRASIERES,Con Calma,Tu Príncipe,Soltera (Remix),China
Dalex,0KPX4Ucy9dk82uj4GpKesn,75,Hola - Remix,Pa Mí - Remix,Porno,Quizas,Cuaderno,Elegí (feat. Dímelo Flow),LA HORA Y EL DÍA,Imaginate,Bellaquita (Remix),Se Le Ve
Dalmata,3jGlU8UMMo44I2xeLQ6FD3,57,Dile a Tu Amiga,Dulce Carita (feat. Lennox & Zion),Eso en 4 No Se Ve,Viajeros,Deseo Animal 2.0,Como Toda Una Señora,XX - Remix,Mucho Brillo (Intro),Sin Pelea,Wait
Dani Martin,3AIPhNgeF9S1Kyg9Yy3UQW,60,Color Esperanza 2020,Cero,Emocional,Que Bonita la Vida,Dieciocho,Volverá - 2021,16 Añitos,"No, No Vuelve",Desastre de persona,La Suerte de Mi Vida - 2021
Daniela Sierra,3nwgQnJvhaRxrpJ9o84t4f,45,No se habla de Bruno,Solo tú
Danna Paola,5xSx2FM8mQnrfgM1QsHniB,72,tqum,XT4S1S,1Trago,Idiota,Mala Fama,Mexico,Nada,Oye Pablo,Know Me Too Well,No Bailes Sola
Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj,77,Me Rehúso,Fuera del mercado,Mónaco,Dembow,Volare,Swing,Felices Perdidos,Correcaminos,Vuelve,Detente
Darell,1TtXnWcUs0FCkaZDPGYHdf,75,4K,Otro Trago,Velitas,Asesina,Te Boté,Adentro de la Disco (feat. Myke Towers),No Somos Iguales,Instagram - Remix,Me Dice Daddy,B11 (feat. Myke Towers)
David Botero,5MDgKcKetNzuCiItXkK1dG,40,Estamos Perdiendo el Tiempo,Amor Imposible - Versión de Erick,Nueva Vida,Enamorándome de Ti,Familia,Qué Flow,Reencuentro,Bombón,Blink Blink Móvil,El Goce
